fir_id,case_id,victim_gender,is_women_safety_case,location_id,area,city
FIR0050,CASE050,M,N,LOC0209,Railway Colony,Patna
FIR0051,CASE051,F,N,LOC0192,Railway Colony,Surat
FIR0052,CASE052,F,N,LOC0193,Commercial Block B,Ghaziabad
FIR0053,CASE052,F,N,LOC0193,Commercial Block B,Ghaziabad
FIR0054,CASE053,M,N,LOC0274,Transport Nagar,Patna
FIR0055,CASE054,,N,LOC0132,Railway Colony,Ghaziabad
FIR0056,CASE055,M,N,LOC0223,Civil Lines,Agra
FIR0057,CASE056,M,N,LOC0049,Transport Nagar,Amritsar
FIR0058,CASE057,F,Y,LOC0152,Sector 55,Agra
FIR0059,CASE058,M,N,LOC0050,Phase 59 Industrial Estate,Haridwar
FIR0060,CASE059,M,N,LOC0054,Phase 19 Industrial Estate,Chennai
FIR0061,CASE060,F,N,LOC0113,Model Town Block B,Ghaziabad
FIR0062,CASE061,M,N,LOC0135,Civil Lines,Faridabad
FIR0063,CASE062,M,N,LOC0185,New Township Sector 5,Patna
FIR0064,CASE063,M,N,LOC0146,Phase 1 Industrial Estate,Agra
FIR0065,CASE064,F,N,LOC0116,Model Town Block B,Dehradun
FIR0066,CASE065,,N,LOC0116,Model Town Block B,Dehradun
FIR0067,CASE066,,N,LOC0100,Housing Board Colony,Hyderabad
FIR0068,CASE067,F,N,LOC0002,Phase 5 Industrial Estate,Ahmedabad
FIR0069,CASE068,F,N,LOC0013,Housing Board Colony,Chennai
FIR0070,CASE069,F,N,LOC0115,Commercial Block B,Delhi
FIR0071,CASE070,,N,LOC0033,Railway Colony,Patna
FIR0072,CASE071,F,Y,LOC0253,Railway Colony,Bhopal
FIR0073,CASE072,M,N,LOC0195,Model Town Block A,Bhopal
FIR0074,CASE073,F,Y,LOC0214,New Township Sector 11,Chennai
FIR0075,CASE074,M,N,LOC0013,Housing Board Colony,Chennai
FIR0076,CASE075,M,N,LOC0297,Civil Lines,Amritsar
FIR0077,CASE076,M,N,LOC0073,Railway Colony,Ranchi
FIR0078,CASE077,,N,LOC0211,Sector 33,Pune
FIR0079,CASE078,F,Y,LOC0102,Sector 30,Haridwar
FIR0080,CASE079,F,Y,LOC0195,Model Town Block A,Bhopal
FIR0081,CASE080,M,N,LOC0245,Civil Lines,Ludhiana
FIR0082,CASE081,F,Y,LOC0177,New Township Sector 5,Agra
FIR0083,CASE082,M,N,LOC0120,Transport Nagar,Mumbai
FIR0084,CASE082,M,N,LOC0120,Transport Nagar,Mumbai
FIR0085,CASE083,,N,LOC0175,Housing Board Colony,Haridwar
FIR0086,CASE084,F,Y,LOC0123,Sector 57,Bhopal
FIR0087,CASE085,M,N,LOC0129,Housing Board Colony,Patna
FIR0088,CASE086,F,N,LOC0175,Housing Board Colony,Haridwar
FIR0089,CASE087,M,N,LOC0177,New Township Sector 5,Agra
FIR0090,CASE088,F,N,LOC0029,New Township Sector 11,Kolkata
FIR0091,CASE089,F,N,LOC0158,Model Town Block C,Haridwar
FIR0092,CASE090,F,N,LOC0052,Commercial Block D,Agra
FIR0093,CASE091,,N,LOC0180,Housing Board Colony,Gurugram
FIR0094,CASE091,,N,LOC0180,Housing Board Colony,Gurugram
FIR0095,CASE092,M,N,LOC0285,Phase 37 Industrial Estate,Kolkata
FIR0096,CASE093,,N,LOC0245,Civil Lines,Ludhiana
FIR0097,CASE094,F,N,LOC0229,Transport Nagar,Kolkata
FIR0098,CASE095,F,Y,LOC0266,Model Town Block D,Ludhiana
FIR0099,CASE096,F,N,LOC0128,Transport Nagar,Mumbai
FIR0100,CASE097,F,N,LOC0107,Old City Market,Lucknow
FIR0101,CASE098,M,N,LOC0124,Model Town Block D,Surat
FIR0102,CASE099,F,Y,LOC0280,Transport Nagar,Kanpur
FIR0103,CASE100,M,N,LOC0080,Housing Board Colony,Delhi
