case_id,case_title,crime_type,date_range_start,date_range_end,primary_location,difficulty,topology,n_network_entities
CASE085,The Robbery Network in Bhubaneswar,Robbery Network,2026-05-09,2026-05-29,Bhubaneswar,Intermediate,I_cross_case,9
CASE086,The Multi-city Fraud Network in Noida,Multi-city Fraud Network,2026-01-11,2026-01-31,Noida,Intermediate,B_chain,14
CASE087,The Money-laundering-style Financial Network in Hyderabad,Money-laundering-style Financial Network,2025-11-19,2025-12-09,Hyderabad,Basic,D_two_communities_broker,7
CASE088,The Smuggling-style Network in Ahmedabad,Smuggling-style Network,2025-06-07,2025-06-27,Ahmedabad,Intermediate,G_hidden_bridge,13
CASE089,The Document Forgery in Chandigarh,Document Forgery,2026-03-15,2026-04-04,Chandigarh,Basic,G_hidden_bridge,5
CASE090,The Corporate Fraud in Kolkata,Corporate Fraud,2026-04-01,2026-04-21,Kolkata,Expert,D_two_communities_broker,75
CASE091,The Cyber-enabled Fraud in Haridwar,Cyber-enabled Fraud,2025-12-24,2026-01-13,Haridwar,Intermediate,I_cross_case,8
CASE092,The Document Forgery in Indore,Document Forgery,2025-10-08,2025-10-28,Indore,Intermediate,D_two_communities_broker,13
CASE093,The Multi-city Fraud Network in Delhi,Multi-city Fraud Network,2025-07-23,2025-08-12,Delhi,Intermediate,F_multi_hub,8
CASE094,The Insurance Fraud in Lucknow,Insurance Fraud,2026-04-28,2026-05-18,Lucknow,Expert,B_chain,53
CASE095,The Missing-person Investigation in Noida,Missing-person Investigation,2026-06-30,2026-07-20,Noida,Advanced,F_multi_hub,22
CASE096,The Illegal Goods Distribution in Surat,Illegal Goods Distribution,2025-12-28,2026-01-17,Surat,Expert,B_chain,67
CASE097,The Corporate Fraud in Ahmedabad,Corporate Fraud,2026-01-01,2026-01-21,Ahmedabad,Advanced,I_cross_case,22
CASE098,The Organized Theft in Kanpur,Organized Theft,2025-11-24,2025-12-14,Kanpur,Basic,C_dense_cluster,4
CASE099,The Extortion in Chennai,Extortion,2026-05-29,2026-06-18,Chennai,Expert,F_multi_hub,78
CASE100,The Missing-person Investigation in Ahmedabad,Missing-person Investigation,2026-05-08,2026-05-28,Ahmedabad,Intermediate,I_cross_case,16
