location_id:ID(Location),location_name
LOC0166,Transport Nagar Dhaba
LOC0167,Transport Nagar Corporate Plaza
LOC0168,Sector 47 Multi-level Parking
LOC0169,Commercial Block D Warehouse Zone
LOC0170,Model Town Block C Housing Complex
LOC0171,Sector 52 Multi-level Parking
LOC0172,Housing Board Colony Railway Station
LOC0173,Transport Nagar Community Park
LOC0174,Old City Market Inn
LOC0175,Housing Board Colony Logistics Warehouse
LOC0176,Old City Market Multi-level Parking
LOC0177,New Township Sector 5 Multi-level Parking
LOC0178,Commercial Block B Family Restaurant
LOC0179,Model Town Block A Industrial Estate
LOC0180,Housing Board Colony Inn
LOC0181,Hotel Commercial Block D Regency
LOC0182,Transport Nagar Community Park
LOC0183,Old City Market Logistics Warehouse
LOC0184,Transport Nagar Inn
LOC0185,New Township Sector 5 Logistics Warehouse
LOC0186,Old City Market Logistics Warehouse
LOC0187,Commercial Block A Logistics Warehouse
LOC0188,Commercial Block B Dhaba
LOC0189,Commercial Block B Commercial Complex
LOC0190,Civil Lines Multi-level Parking
LOC0191,Commercial Block C Bus Terminal
LOC0192,Railway Colony Family Restaurant
LOC0193,Commercial Block B Apartments
LOC0194,Model Town Block C Family Restaurant
LOC0195,Model Town Block A Residency
LOC0196,Old City Market Dhaba
LOC0197,Civil Lines Public Parking
LOC0198,Hotel Old City Market Regency
LOC0199,Housing Board Colony Public Parking
LOC0200,Hotel Commercial Block A Regency
LOC0201,Sector 51 Business Tower
LOC0202,Model Town Block D Warehouse Zone
LOC0203,Civil Lines Multi-level Parking
LOC0204,Transport Nagar Market
LOC0205,Model Town Block A Public Ground
LOC0206,Phase 41 Industrial Estate Dhaba
LOC0207,Hotel Model Town Block D Regency
LOC0208,Old City Market Housing Complex
LOC0209,Railway Colony Railway Station
LOC0210,Old City Market Industrial Estate
LOC0211,Sector 33 Business Tower
LOC0212,Civil Lines Railway Station
LOC0213,Civil Lines Logistics Warehouse
LOC0214,New Township Sector 11 Commercial Complex
LOC0215,Hotel Phase 21 Industrial Estate Regency
LOC0216,New Township Sector 48 Family Restaurant
LOC0217,Housing Board Colony Market
LOC0218,Model Town Block A Corporate Plaza
LOC0219,New Township Sector 22 Commercial Complex
LOC0220,Railway Colony Trade Centre
LOC0221,Transport Nagar Railway Station
LOC0222,New Township Sector 48 Market
LOC0223,Civil Lines Warehouse Zone
LOC0224,Housing Board Colony Dhaba
LOC0225,Hotel Commercial Block D Regency
LOC0226,Railway Colony Business Tower
LOC0227,Railway Colony Storage Yard
LOC0228,Phase 31 Industrial Estate Business Tower
LOC0229,Transport Nagar Storage Yard
LOC0230,Sector 30 Railway Station
LOC0231,New Township Sector 15 Trade Centre
LOC0232,Model Town Block C Railway Station
LOC0233,New Township Sector 20 Commercial Complex
LOC0234,Model Town Block B Trade Centre
LOC0235,Civil Lines Railway Station
LOC0236,Railway Colony Commercial Complex
LOC0237,Transport Nagar Commercial Complex
LOC0238,Transport Nagar Railway Station
LOC0239,Old City Market Storage Yard
LOC0240,Commercial Block A Multi-level Parking
LOC0241,Old City Market Public Ground
LOC0242,Commercial Block B Logistics Warehouse
LOC0243,Railway Colony Railway Station
LOC0244,Commercial Block A Housing Complex
LOC0245,Civil Lines Commercial Complex
LOC0246,New Township Sector 45 Public Ground
LOC0247,Commercial Block B Industrial Estate
LOC0248,Housing Board Colony Railway Station
LOC0249,Housing Board Colony Warehouse Zone
LOC0250,Hotel Sector 41 Regency
LOC0251,Railway Colony Railway Station
LOC0252,Model Town Block A Railway Station
LOC0253,Railway Colony Inn
LOC0254,Housing Board Colony Storage Yard
LOC0255,Housing Board Colony Bus Terminal
LOC0256,New Township Sector 53 Public Ground
LOC0257,Phase 3 Industrial Estate Public Parking
LOC0258,Sector 40 Industrial Estate
LOC0259,Phase 9 Industrial Estate Railway Station
LOC0260,New Township Sector 54 Public Parking
LOC0261,Civil Lines Corporate Plaza
LOC0262,Civil Lines Logistics Warehouse
LOC0263,Phase 12 Industrial Estate Warehouse Zone
LOC0264,Old City Market Housing Complex
LOC0265,New Township Sector 44 Residency
LOC0266,Model Town Block D Trade Centre
LOC0267,Housing Board Colony Corporate Plaza
LOC0268,Sector 14 Warehouse Zone
LOC0269,Civil Lines Multi-level Parking
LOC0270,Civil Lines Corporate Plaza
LOC0271,Commercial Block B Public Ground
LOC0272,Phase 51 Industrial Estate Corporate Plaza
LOC0273,Sector 51 Market
LOC0274,Transport Nagar Community Park
LOC0275,Sector 39 Corporate Plaza
LOC0276,Phase 50 Industrial Estate Trade Centre
LOC0277,Commercial Block A Inn
LOC0278,Phase 5 Industrial Estate Family Restaurant
LOC0279,Commercial Block C Multi-level Parking
LOC0280,Transport Nagar Commercial Complex
LOC0281,Transport Nagar Housing Complex
LOC0282,Transport Nagar Business Tower
LOC0283,New Township Sector 35 Storage Yard
LOC0284,Transport Nagar Logistics Warehouse
LOC0285,Phase 37 Industrial Estate Housing Complex
LOC0286,Civil Lines Apartments
LOC0287,Sector 49 Logistics Warehouse
LOC0288,New Township Sector 54 Community Park
LOC0289,Model Town Block A Family Restaurant
LOC0290,Old City Market Railway Station
LOC0291,Phase 23 Industrial Estate Apartments
LOC0292,Phase 29 Industrial Estate Apartments
LOC0293,Old City Market Storage Yard
LOC0294,Phase 51 Industrial Estate Business Tower
LOC0295,Railway Colony Industrial Estate
LOC0296,Old City Market Public Ground
LOC0297,Civil Lines Market
LOC0298,Railway Colony Inn
LOC0299,Commercial Block B Family Restaurant
LOC0300,Old City Market Warehouse Zone
